
SHORT_NAME  CONTENT  LONG_NAME  FLAGS  BAM_ANIM  X_POS   Y_POS  NAME         TOOLTIP  LOAD_IM

ACIL0A      ACIL0A   ACIL0A     0      1100      1308    2875   @100000      N        AC#GTR0A
ACIL4M      ACIL4M   ACIL4M     0      1101      1037    2357   @100001      N        N
ACIL01      ACIL01   ACIL01     0      1102      1317    2945   @100002      N        N
ACIL03      ACIL03   ACIL03     0      1103       530    2270   @100003      N        N
ACIL04      ACIL04   ACIL04     0      1104       845    2230   @100004      N        AC#GTR04
ACIL06      ACIL06   ACIL06     0      1105       888    2245   @100005      N        AC#GTR06
ACIL07      ACIL07   ACIL07     0      1104       845    2230   @100004      N        N
ACIL08      ACIL08   ACIL08     0      1103       530    2270   @100003      N        N
ACIL09      ACIL09   ACIL09     0      1105       888    2245   @100005      N        N
ACIL41      ACIL41   ACIL41     0      1106      1260    2630   @100006      N        N
ACIL20      ACIL20   ACIL20     0      1107      1397    2875   @100007      N        N
ACIL70      ACIL70   ACIL70     0      1108       960    2222   @100008      N        N
ACIL9F		ACIL9F	 ACIL9F		0      1109       635    2250   @100009      N        AC#GTR9F
